DateTime;T_air_mean;humidity_rel;wind_speed_mean;wind_speed_max;wind_direction;radiation;pressure_air;P;ET_haude;ET_penman;T_air_min;T_air_max;RDate_Xlt;Date
01.01.2017 00:00;-0.6;80;0.3;0.6;243;0;1010;0;0;0.001;-0.6;-0.6;01.01.2017 00:00;01.01.2017
01.01.2017 00:10;-1.1;80;2;2.9;286;0;1009.9;0;0;0.001;-1.1;-1.1;01.01.2017 00:10;01.01.2017
01.01.2017 00:20;-1.1;82;2.9;4.1;240;0;1009.7;0;0;0.003;-1.1;-1.1;01.01.2017 00:20;01.01.2017
01.01.2017 00:30;-1;81;3.2;4.5;242;0;1009.7;0;0;0.003;-1;-1;01.01.2017 00:30;01.01.2017
01.01.2017 00:40;-1;81;3.1;3.8;253;0;1009.4;0;0;0.003;-1;-1;01.01.2017 00:40;01.01.2017
01.01.2017 00:50;-1.1;80;2.6;3.7;255;0;1009.5;0;0;0.003;-1.1;-1.1;01.01.2017 00:50;01.01.2017
01.01.2017 01:00;-1.2;80;3;4.7;248;0;1009.2;0;0;0.003;-1.2;-1.2;01.01.2017 01:00;01.01.2017
01.01.2017 01:10;-1.1;79;3.2;4.1;243;0;1009.1;0;0;0.003;-1.1;-1.1;01.01.2017 01:10;01.01.2017
01.01.2017 01:20;-1.2;79;2.2;3.1;244;0;1009;0;0;0.003;-1.2;-1.2;01.01.2017 01:20;01.01.2017
01.01.2017 01:30;-1.4;79;1.8;2.9;238;0;1008.9;0;0;0.002;-1.4;-1.4;01.01.2017 01:30;01.01.2017
01.01.2017 01:40;-1.3;80;2.3;3.4;232;0;1008.7;0;0;0.003;-1.3;-1.3;01.01.2017 01:40;01.01.2017
01.01.2017 01:50;-1.2;79;2;3;237;0;1008.6;0;0;0.002;-1.2;-1.2;01.01.2017 01:50;01.01.2017
01.01.2017 02:00;-1.2;78;1.9;2.9;245;0;1008.6;0;0;0.002;-1.2;-1.2;01.01.2017 02:00;01.01.2017
01.01.2017 02:10;-1.5;78;1.3;2;222;0;1008.6;0;0;0.002;-1.5;-1.5;01.01.2017 02:10;01.01.2017
01.01.2017 02:20;-1.8;79;0.8;1.4;197;0;1008.4;0;0;0.001;-1.8;-1.8;01.01.2017 02:20;01.01.2017
01.01.2017 02:30;-2;80;0.7;1.8;219;0;1008.3;0;0;0.001;-2;-2;01.01.2017 02:30;01.01.2017
01.01.2017 02:40;-2;81;0.9;1.7;234;0;1008.3;0;0;0.001;-2;-2;01.01.2017 02:40;01.01.2017
01.01.2017 02:50;-1.9;82;2.1;3.3;238;0;1008;0;0;0.002;-1.9;-1.9;01.01.2017 02:50;01.01.2017
01.01.2017 03:00;-1.6;81;2.7;3.4;237;0;1007.9;0;0;0.003;-1.6;-1.6;01.01.2017 03:00;01.01.2017
01.01.2017 03:10;-1.5;80;2.8;3.7;239;0;1007.8;0;0;0.003;-1.5;-1.5;01.01.2017 03:10;01.01.2017
01.01.2017 03:20;-1.5;80;2.8;3.6;234;0;1007.6;0;0;0.003;-1.5;-1.5;01.01.2017 03:20;01.01.2017
01.01.2017 03:30;-1.6;80;3.1;3.8;229;0;1007.5;0;0;0.003;-1.6;-1.6;01.01.2017 03:30;01.01.2017
01.01.2017 03:40;-1.9;80;2.2;3.2;225;0;1007.5;0;0;0.002;-1.9;-1.9;01.01.2017 03:40;01.01.2017
01.01.2017 03:50;-2.1;82;2.2;2.7;234;0;1007.3;0;0;0.002;-2.1;-2.1;01.01.2017 03:50;01.01.2017
01.01.2017 04:00;-2.2;83;1.9;2.2;237;0;1007.2;0;0;0.002;-2.2;-2.2;01.01.2017 04:00;01.01.2017
01.01.2017 04:10;-2.1;83;2;2.6;239;0;1007.2;0;0;0.002;-2.1;-2.1;01.01.2017 04:10;01.01.2017
01.01.2017 04:20;-2.2;82;1.7;2.2;233;0;1007.1;0;0;0.002;-2.2;-2.2;01.01.2017 04:20;01.01.2017
01.01.2017 04:30;-2.3;83;1.9;3;233;0;1006.9;0;0;0.002;-2.3;-2.3;01.01.2017 04:30;01.01.2017
01.01.2017 04:40;-2.2;83;1.9;3.3;243;0;1006.8;0;0;0.002;-2.2;-2.2;01.01.2017 04:40;01.01.2017
01.01.2017 04:50;-2.6;83;1.7;2.2;214;0;1006.6;0;0;0.002;-2.6;-2.6;01.01.2017 04:50;01.01.2017
01.01.2017 05:00;-2.8;84;1.2;1.9;215;0;1006.5;0;0;0.001;-2.8;-2.8;01.01.2017 05:00;01.01.2017
01.01.2017 05:10;-2.8;85;0.9;1.2;231;0;1006.4;0;0;0.001;-2.8;-2.8;01.01.2017 05:10;01.01.2017
01.01.2017 05:20;-3;85;1.1;1.6;205;0;1006.3;0;0;0.001;-3;-3;01.01.2017 05:20;01.01.2017
01.01.2017 05:30;-3.3;86;1.8;2.9;203;0;1006.2;0;0;0.001;-3.3;-3.3;01.01.2017 05:30;01.01.2017
01.01.2017 05:40;-3.4;87;2.4;4.3;200;0;1006.1;0;0;0.002;-3.4;-3.4;01.01.2017 05:40;01.01.2017
01.01.2017 05:50;-3;87;2.6;3.8;202;0;1006;0;0;0.002;-3;-3;01.01.2017 05:50;01.01.2017
01.01.2017 06:00;-3;86;2.1;2.8;200;0;1005.9;0;0;0.001;-3;-3;01.01.2017 06:00;01.01.2017
01.01.2017 06:10;-2.9;87;1.7;2.6;194;0;1005.7;0;0;0.001;-2.9;-2.9;01.01.2017 06:10;01.01.2017
01.01.2017 06:20;-2.9;87;1.1;1.8;196;0;1005.6;0;0;0.001;-2.9;-2.9;01.01.2017 06:20;01.01.2017
