"Position";"Date";"value";"RDate";"System";"SampleType";"FlowDirection"
"H50_IN";"01.01.2017";196.8;2017-01-01;"H50";"In";"HF"
"H50_IN";"02.01.2017";196.8;2017-01-02;"H50";"In";"HF"
"H50_IN";"03.01.2017";196.7;2017-01-03;"H50";"In";"HF"
"H50_IN";"04.01.2017";196.7;2017-01-04;"H50";"In";"HF"
"H50_IN";"05.01.2017";196.7;2017-01-05;"H50";"In";"HF"
"H50_IN";"06.01.2017";196.8;2017-01-06;"H50";"In";"HF"
"H50_IN";"07.01.2017";196.8;2017-01-07;"H50";"In";"HF"
"H50_IN";"08.01.2017";196.8;2017-01-08;"H50";"In";"HF"
"H50_IN";"09.01.2017";196.8;2017-01-09;"H50";"In";"HF"
"H50_IN";"10.01.2017";196.7;2017-01-10;"H50";"In";"HF"
"H50_IN";"11.01.2017";196.5;2017-01-11;"H50";"In";"HF"
"H50_IN";"12.01.2017";196.8;2017-01-12;"H50";"In";"HF"
"H50_IN";"13.01.2017";196.8;2017-01-13;"H50";"In";"HF"
"H50_IN";"14.01.2017";196.5;2017-01-14;"H50";"In";"HF"
"H50_IN";"15.01.2017";196.8;2017-01-15;"H50";"In";"HF"
"H50_IN";"16.01.2017";196.8;2017-01-16;"H50";"In";"HF"
"H50_IN";"17.01.2017";196.8;2017-01-17;"H50";"In";"HF"
"H50_IN";"18.01.2017";196.8;2017-01-18;"H50";"In";"HF"
"H50_IN";"19.01.2017";196.8;2017-01-19;"H50";"In";"HF"
"H50_IN";"20.01.2017";196.8;2017-01-20;"H50";"In";"HF"
"H50_IN";"21.01.2017";196.7;2017-01-21;"H50";"In";"HF"
"H50_IN";"22.01.2017";196.8;2017-01-22;"H50";"In";"HF"
"H50_IN";"23.01.2017";196.8;2017-01-23;"H50";"In";"HF"
"H50_IN";"24.01.2017";196.7;2017-01-24;"H50";"In";"HF"
"H50_IN";"25.01.2017";196.8;2017-01-25;"H50";"In";"HF"
"H50_IN";"26.01.2017";196.8;2017-01-26;"H50";"In";"HF"
"H50_IN";"27.01.2017";196.8;2017-01-27;"H50";"In";"HF"
"H50_IN";"28.01.2017";196.7;2017-01-28;"H50";"In";"HF"
"H50_IN";"29.01.2017";196.7;2017-01-29;"H50";"In";"HF"
"H50_IN";"30.01.2017";196.8;2017-01-30;"H50";"In";"HF"
"H50_IN";"31.01.2017";196.8;2017-01-31;"H50";"In";"HF"
"H50_IN";"01.02.2017";196.7;2017-02-01;"H50";"In";"HF"
"H50_IN";"02.02.2017";196.8;2017-02-02;"H50";"In";"HF"
"H50_IN";"03.02.2017";196.8;2017-02-03;"H50";"In";"HF"
"H50_IN";"04.02.2017";196.6;2017-02-04;"H50";"In";"HF"
"H50_IN";"05.02.2017";196.8;2017-02-05;"H50";"In";"HF"
"H50_IN";"06.02.2017";196.8;2017-02-06;"H50";"In";"HF"
