"Position";"Date_short";"value";"RDate";"System";"SampleType";"FlowDirection"
"H50_IN";"2017/01/01";196.753846153846;2017-01-01;"H50";"In";"HF"
"H50_IN";"2017/02/01";196.775;2017-02-01;"H50";"In";"HF"
"H50_IN";"2017/03/01";185.322222222222;2017-03-01;"H50";"In";"HF"
"H50_IN";"2017/04/01";175.211111111111;2017-04-01;"H50";"In";"HF"
"H50_IN";"2017/05/01";189.355555555556;2017-05-01;"H50";"In";"HF"
"H50_IN";"2017/06/01";187.513636363636;2017-06-01;"H50";"In";"HF"
"H50_IN";"2017/07/01";196.768;2017-07-01;"H50";"In";"HF"
"H50_IN";"2017/08/01";196.712;2017-08-01;"H50";"In";"HF"
"H50_OUT";"2017/01/01";311.347692307692;2017-01-01;"H50";"Out";"HF"
"H50_OUT";"2017/02/01";306.9575;2017-02-01;"H50";"Out";"HF"
"H50_OUT";"2017/03/01";308.957037037037;2017-03-01;"H50";"Out";"HF"
"H50_OUT";"2017/04/01";334.094074074074;2017-04-01;"H50";"Out";"HF"
"H50_OUT";"2017/05/01";302.558518518518;2017-05-01;"H50";"Out";"HF"
"H50_OUT";"2017/06/01";288.026818181818;2017-06-01;"H50";"Out";"HF"
"H50_OUT";"2017/07/01";302.33;2017-07-01;"H50";"Out";"HF"
"H50_OUT";"2017/08/01";296.16;2017-08-01;"H50";"Out";"HF"
"H50p_IN";"2017/01/01";196.726923076923;2017-01-01;"H50p";"In";"HF"
"H50p_IN";"2017/02/01";196.779166666667;2017-02-01;"H50p";"In";"HF"
"H50p_IN";"2017/03/01";184.855555555556;2017-03-01;"H50p";"In";"HF"
"H50p_IN";"2017/04/01";175.551851851852;2017-04-01;"H50p";"In";"HF"
"H50p_IN";"2017/05/01";189.359259259259;2017-05-01;"H50p";"In";"HF"
"H50p_IN";"2017/06/01";187.859090909091;2017-06-01;"H50p";"In";"HF"
"H50p_IN";"2017/07/01";196.756;2017-07-01;"H50p";"In";"HF"
"H50p_IN";"2017/08/01";196.784;2017-08-01;"H50p";"In";"HF"
"H50p_OUT";"2017/01/01";288.091538461538;2017-01-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/02/01";286.647916666667;2017-02-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/03/01";289.532962962963;2017-03-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/04/01";311.699259259259;2017-04-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/05/01";239.258888888889;2017-05-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/06/01";165.468181818182;2017-06-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/07/01";194.2316;2017-07-01;"H50p";"Out";"HF"
"H50p_OUT";"2017/08/01";208.2992;2017-08-01;"H50p";"Out";"HF"
"HA_IN";"2017/01/01";577.815384615385;2017-01-01;"HA";"In";"HF"
"HA_IN";"2017/02/01";578.195833333333;2017-02-01;"HA";"In";"HF"
"HA_IN";"2017/03/01";543.933333333333;2017-03-01;"HA";"In";"HF"
"HA_IN";"2017/04/01";523.611111111111;2017-04-01;"HA";"In";"HF"
